input1	label
o r g a n i z a t i o n	organization
e f f e c t	effect
a s k e d	asked
e u r	eur
m i n d	mind
s u n d a y	sunday
s e l e c t i o n	selection
c a s i n o	casino
p d f	pdf
l o s t	lost
t o u r	tour
m e n u	menu
v o l u m e	volume
c r o s s	cross
a n y o n e	anyone
m o r t g a g e	mortgage
h o p e	hope
s i l v e r	silver
c o r p o r a t i o n	corporation
w i s h	wish
i n s i d e	inside
s o l u t i o n	solution
m a t u r e	mature
r o l e	role
r a t h e r	rather
w e e k s	weeks
a d d i t i o n	addition
c a m e	came
s u p p l y	supply
n o t h i n g	nothing
c e r t a i n	certain
u s r	usr
e x e c u t i v e	executive
r u n n i n g	running
l o w e r	lower
n e c e s s a r y	necessary
u n i o n	union
j e w e l r y	jewelry
a c c o r d i n g	according
c l o t h i n g	clothing
m o n	mon
c o m	com
p a r t i c u l a r	particular
f i n e	fine
n a m e s	names
r o b e r t	robert
h o m e p a g e	homepage
h o u r	hour
g a s	gas
s k i l l s	skills
s i x	six
b u s h	bush
i s l a n d s	islands
a d v i c e	advice
c a r e e r	career
m i l i t a r y	military
r e n t a l	rental
d e c i s i o n	decision
l e a v e	leave
b r i t i s h	british
t e e n s	teens
p r e	pre
h u g e	huge
s a t	sat
w o m a n	woman
f a c i l i t i e s	facilities
z i p	zip
b i d	bid
k i n d	kind
s e l l e r s	sellers
m i d d l e	middle
m o v e	move
c a b l e	cable
o p p o r t u n i t i e s	opportunities
t a k i n g	taking
v a l u e s	values
d i v i s i o n	division
c o m i n g	coming
t u e s d a y	tuesday
o b j e c t	object
l e s b i a n	lesbian
a p p r o p r i a t e	appropriate
m a c h i n e	machine
l o g o	logo
l e n g t h	length
a c t u a l l y	actually
n i c e	nice
s c o r e	score
s t a t i s t i c s	statistics
c l i e n t	client
r e t u r n s	returns
c a p i t a l	capital
f o l l o w	follow
s a m p l e	sample
i n v e s t m e n t	investment
s e n t	sent
s h o w n	shown
s a t u r d a y	saturday
c h r i s t m a s	christmas
e n g l a n d	england
c u l t u r e	culture
b a n d	band
f l a s h	flash
l e a d	lead
g e o r g e	george
c h o i c e	choice
w e n t	went
s t a r t i n g	starting
r e g i s t r a t i o n	registration
f r i	fri
t h u r s d a y	thursday
c o u r s e s	courses
c o n s u m e r	consumer
a i r p o r t	airport
f o r e i g n	foreign
a r t i s t	artist
o u t s i d e	outside
f u r n i t u r e	furniture
l e v e l s	levels
c h a n n e l	channel
l e t t e r	letter
m o d e	mode
p h o n e s	phones
i d e a s	ideas
w e d n e s d a y	wednesday
s t r u c t u r e	structure
f u n d	fund
s u m m e r	summer
a l l o w	allow
d e g r e e	degree
c o n t r a c t	contract
b u t t o n	button
r e l e a s e s	releases
w e d	wed
h o m e s	homes
s u p e r	super
m a l e	male
m a t t e r	matter
c u s t o m	custom
