input1	label
v p k z q n t w f j l s	vpkzqntwfjls
h g f k p x	hgfkpx
p n g f s	pngfs
r w z	rwz
d c s l	dcsl
h f m c p l	hfmcpl
j z t x w r n g d	jztxwrngd
p w z b f g	pwzbfg
f c v	fcv
g k j d	gkjd
x b z g	xbzg
f s v l	fsvl
r z b k c s	rzbkcs
r b p t k	rbptk
t h m x l f	thmxlf
s d v c t z m x	sdvctzmx
c h l f	chlf
d v l q w g	dvlqwg
c q l v p d r x g z s	cqlvpdrxgzs
p c l t	pclt
b l r s k z	blrskz
p t m n b h z d	ptmnbhzd
x r l k m g	xrlkmg
x r w f	xrwf
p h f n s b	phfnsb
g v t w h	gvtwh
k m h x s t q j	kmhxstqj
q g f l	qgfl
x g t v l k	xgtvlk
l f z k b x w	lfzkbxw
z k f q g j s	zkfqgjs
n j m	njm
m l k g d x j r b	mlkgdxjrb
l j z c q k p	ljzcqkp
q p f w l	qpfwl
r z m w t j v d k	rzmwtjvdk
d w c s z	dwcsz
v k b z g j q	vkbzgjq
h w p l v r s m q	hwplvrsmq
m x r t f q d l	mxrtfqdl
v q t	vqt
b k h	bkh
n c t j w l f s r h	nctjwlfsrh
s n d m	sndm
t p z q n	tpzqn
g m b f c h	gmbfch
r j q w d g k x	rjqwdgkx
c q d h	cqdh
s f c	sfc
w q v h s c	wqvhsc
n h s	nhs
v z r w	vzrw
q c j s d w g	qcjsdwg
w b f p t v	wbfptv
l p s j r z	lpsjrz
n k l m t r g s	nklmtrgs
b s m w f c	bsmwfc
q d p k s r n v	qdpksrnv
v z n g x	vzngx
f m w h x b z	fmwhxbz
r w x g z	rwxgz
d w q	dwq
k l q r	klqr
d l f	dlf
s b w n g	sbwng
m p k f d j l g v h	mpkfdjlgvh
d q z	dqz
b x m	bxm
x k f r	xkfr
c k j p q g x	ckjpqgx
b g t s l m	bgtslm
b k l j	bklj
f t x s z	ftxsz
t z f p x b n v d k g m s	tzfpxbnvdkgms
t w p x c n	twpxcn
d l k w r j	dlkwrj
g z d j t v b l	gzdjtvbl
j n b p x h	jnbpxh
g b w h m k j	gbwhmkj
b s r k v c	bsrkvc
h f x k t d n	hfxktdn
s c f b z m n g p h j	scfbzmngphj
z l s h t g w	zlshtgw
n t p g	ntpg
c l f t v q	clftvq
n q f l k m w p	nqflkmwp
z d f g	zdfg
t g w p v	tgwpv
r z s k v c p t x d	rzskvcptxd
r t k p d w	rtkpdw
q d j c v k b	qdjcvkb
x g b j r w m	xgbjrwm
n w j x d c	nwjxdc
k b x n v q	kbxnvq
l m t h d k f g s w	lmthdkfgsw
v z d h	vzdh
j f v h n	jfvhn
d t w r j n f s	dtwrjnfs
f s d q l v n p t	fsdqlvnpt
b h s c q f v	bhscqfv
j t b q r m f	jtbqrmf
z l g s	zlgs
j k t b x	jktbx
f n j c	fnjc
m b j x r k	mbjxrk
p f d t g h	pfdtgh
b m s p	bmsp
s q v n p m f r	sqvnpmfr
z h n s v b q w c l d p	zhnsvbqwcldp
k s g	ksg
p j f c m l b s	pjfcmlbs
r q b k x t d	rqbkxtd
c z p v t l h n	czpvtlhn
c v r p z m n	cvrpzmn
g h r k m w t	ghrkmwt
w n s f r h	wnsfrh
v z q m s d j	vzqmsdj
m k w s v g t r z	mkwsvgtrz
n l t x j h	nltxjh
q w g j l d c	qwgjldc
j g k d t m	jgkdtm
f m d p	fmdp
z n r l k v	znrlkv
d n f m j	dnfmj
g z m f q j r n k	gzmfqjrnk
j r z g b d m w k	jrzgbdmwk
z m d c	zmdc
k l q h c r	klqhcr
h l x r z	hlxrz
q g b d k h	qgbdkh
s h m z t v b l	shmztvbl
r n g d f q	rngdfq
k x m w d p f l	kxmwdpfl
q j x	qjx
q k r m t	qkrmt
w z c v m	wzcvm
c v n z	cvnz
p b h r s v	pbhrsv
h b m x w j	hbmxwj
f z s m r k q g	fzsmrkqg
q d t r h n	qdtrhn
v w f m	vwfm
g m t k j n r	gmtkjnr
f x w r l t h d	fxwrlthd
q m g h l	qmghl
c g l t z h m v q p r k	cgltzhmvqprk
l x p j v g	lxpjvg
x n z	xnz
v k p m c z t l q x	vkpmcztlqx
t r x g c	trxgc
k g j h d q c w r	kgjhdqcwr
s d h m	sdhm
j r w k	jrwk
l b k	lbk
n q f	nqf
h s v j b	hsvjb
r x q k	rxqk
w r b z	wrbz
w t j f q n b r	wtjfqnbr
f t g c	ftgc
m r d w g	mrdwg
l v k n d c	lvkndc
h r f x z b n v q g l	hrfxzbnvqgl
p r x	prx
t z k q f h c x m l j b g w	tzkqfhcxmljbgw
c n f	cnf
s k q l d j z b p n	skqldjzbpn
j b q r p z	jbqrpz
j d m l c h w	jdmlchw
k f z r v q	kfzrvq
k l s z n w p	klsznwp
k b h z m f	kbhzmf
v r w k	vrwk
j t b h g f s	jtbhgfs
h n v c k f	hnvckf
k m l s t w j p g f	kmlstwjpgf
h k n s r v	hknsrv
h f m z g	hfmzg
h w c n r l f k	hwcnrlfk
l j k r z s p h	ljkrzsph
s c h r w k b m t	schrwkbmt
s w x h z q d f m p l c v	swxhzqdfmplcv
z t r h b x f	ztrhbxf
w l n q j x k	wlnqjxk
c d w	cdw
k z n b m	kznbm
m z x d q j	mzxdqj
m x g l t k q d	mxgltkqd
n d l x f m v r j q s	ndlxfmvrjqs
p f h t k m s z	pfhtkmsz
w s v h j x t	wsvhjxt
d c p m w	dcpmw
l k f m z s p r	lkfmzspr
h d z t v b j k f	hdztvbjkf
r t w m	rtwm
l m g f	lmgf
s b l t w k j p	sbltwkjp
t q x m	tqxm
t z j l	tzjl
l j k t h f z	ljkthfz
h z k b s j w	hzkbsjw
w d b z j	wdbzj
h c m p g	hcmpg
d t w p r	dtwpr
x p g	xpg
v m x w c	vmxwc
k d x b h r	kdxbhr
h p z m t j s l r	hpzmtjslr
f r v l g	frvlg
m g r l	mgrl
d l c t s q	dlctsq
q b r p n w	qbrpnw
l q t j k	lqtjk
l d z f s w h g t	ldzfswhgt
s v c h w	svchw
p n x z k	pnxzk
s q w g	sqwg
l t c z q j	ltczqj
w c g b v l m	wcgbvlm
b d x m j k	bdxmjk
j b s c v n k m z h	jbscvnkmzh
l p f t m c d	lpftmcd
p w m d l q	pwmdlq
q c s b t x p l z m	qcsbtxplzm
w l d b k f j x c q	wldbkfjxcq
q h k j n b x c s	qhkjnbxcs
v m h	vmh
l b c r d f	lbcrdf
v g h m j f p l	vghmjfpl
r q k d g j p	rqkdgjp
v h f t r x z l b	vhftrxzlb
f g m l q	fgmlq
b j x n d w	bjxndw
c v n m x q r t	cvnmxqrt
r q v j k n h d z l	rqvjknhdzl
c s k g d j	cskgdj
n j r x g d	njrxgd
b q v z h c	bqvzhc
p q g m w b k x	pqgmwbkx
x p m s b r g z	xpmsbrgz
l f n	lfn
z g l r v n m	zglrvnm
f g n	fgn
q l j m f	qljmf
f g k m n z b l d t r c	fgkmnzbldtrc
b g p x h	bgpxh
l j k	ljk
x k s r f t n z j	xksrftnzj
x g d h k c p	xgdhkcp
d m b v x j k s t r	dmbvxjkstr
j p v c d h x s w	jpvcdhxsw
c m b n	cmbn
g r m f p d	grmfpd
p d s k	pdsk
l h m z d s c w	lhmzdscw
m g s h l	mgshl
v q s l w m c	vqslwmc
w m f l r	wmflr
x g m h d j	xgmhdj
x h v m j z s g	xhvmjzsg
p t n k z h m w r b f j	ptnkzhmwrbfj
v t r k x l p	vtrkxlp
z p t d s g	zptdsg
f n m	fnm
t w q l x b c d	twqlxbcd
w j x g c d l	wjxgcdl
