input1	label
czvgkxsrwdbj	c z v g k x s r w d b j
hlwvzn	h l w v z n
zxlwj	z x l w j
trg	t r g
qpjb	q p j b
hwfpzb	h w f p z b
dgsnrtxlq	d g s n r t x l q
zrgmwl	z r g m w l
wpc	w p c
lvdq	l v d q
nmgl	n m g l
wjcb	w j c b
tgmvpj	t g m v p j
tmzsv	t m z s v
shfnbw	s h f n b w
jqcpsgfn	j q c p s g f n
phbw	p h b w
qcbkrl	q c b k r l
pkbczqtnlgj	p k b c z q t n l g j
zpbs	z p b s
mbtjvg	m b t j v g
zsfxmhgq	z s f x m h g q
ntbvfl	n t b v f l
ntrw	n t r w
zhwxjm	z h w x j m
lcsrh	l c s r h
vfhnjskd	v f h n j s k d
klwb	k l w b
nlscbv	n l s c b v
bwgvmnr	b w g v m n r
gvwkldj	g v w k l d j
xdf	x d f
fbvlqndtm	f b v l q n d t m
bdgpkvz	b d g p k v z
kzwrb	k z w r b
tgfrsdcqv	t g f r s d c q v
qrpjg	q r p j g
cvmgldk	c v m g l d k
hrzbctjfk	h r z b c t j f k
fntswkqb	f n t s w k q b
cks	c k s
mvh	m v h
xpsdrbwjth	x p s d r b w j t h
jxqf	j x q f
szgkx	s z g k x
lfmwph	l f m w p h
tdkrqlvn	t d k r q l v n
pkqh	p k q h
jwp	j w p
rkchjp	r k c h j p
xhj	x h j
cgtr	c g t r
kpdjqrl	k p d j q r l
rmwzsc	r m w z s c
bzjdtg	b z j d t g
xvbfstlj	x v b f s t l j
mjfrwp	m j f r w p
kqzvjtxc	k q z v j t x c
cgxln	c g x l n
wfrhnmg	w f r h n m g
trnlg	t r n l g
qrk	q r k
vbkt	v b k t
qbw	q b w
jmrxl	j m r x l
fzvwqdblch	f z v w q d b l c h
qkg	q k g
mnf	m n f
nvwt	n v w t
pvdzkln	p v d z k l n
mlsjbf	m l s j b f
mvbd	m v b d
wsnjg	w s n j g
sgwznmxcqvlfj	s g w z n m x c q v l f j
srznpx	s r z n p x
qbvrtd	q b v r t d
lgqdscmb	l g q d s c m b
dxmznh	d x m z n h
lmrhfvd	l m r h f v d
mjtvcp	m j t v c p
hwnvsqx	h w n v s q x
jpwmgfxlzhd	j p w m g f x l z h d
gbjhslr	g b j h s l r
xszl	x s z l
pbwsck	p b w s c k
xkwbvfrz	x k w b v f r z
gqwl	g q w l
slrzc	s l r z c
tgjvcpzsnq	t g j v c p z s n q
tsvzqr	t s v z q r
kqdpcvm	k q d p c v m
nlmdtrf	n l m d t r f
xrdnqp	x r d n q p
vmnxck	v m n x c k
bfshqvwljr	b f s h q v w l j r
cgqh	c g q h
dwchx	d w c h x
qsrtdxwj	q s r t d x w j
wjqkbcxzs	w j q k b c x z s
mhjpkwc	m h j p k w c
dsmktfw	d s m k t f w
gblj	g b l j
dvsmn	d v s m n
wxdp	w x d p
fmdntv	f m d n t v
zwqslh	z w q s l h
mfjz	m f j z
jkcxzfwt	j k c x z f w t
ghxjcmkrpbqz	g h x j c m k r p b q z
vjl	v j l
zdwpfbmj	z d w p f b m j
tkmvnsq	t k m v n s q
pgzcsbhx	p g z c s b h x
pctzgfx	p c t z g f x
lhtvfrs	l h t v f r s
rxjwth	r x j w t h
cgkfjqd	c g k f j q d
fvrjclstg	f v r j c l s t g
xbsndh	x b s n d h
krldbqp	k r l d b q p
dlvqsf	d l v q s f
wfqz	w f q z
gxtbvc	g x t b v c
qxwfd	q x w f d
lgfwkdtxv	l g f w k d t x v
dtglmqfrv	d t g l m q f r v
gfqp	g f q p
vbkhpt	v b k h p t
hbntg	h b n t g
klmqvh	k l m q v h
jhfgscmb	j h f g s c m b
txlqwk	t x l q w k
vnfrqzwb	v n f r q z w b
kdn	k d n
