input1	label
organization	o r g a n i z a t i o n
effect	e f f e c t
asked	a s k e d
eur	e u r
mind	m i n d
sunday	s u n d a y
selection	s e l e c t i o n
casino	c a s i n o
pdf	p d f
lost	l o s t
tour	t o u r
menu	m e n u
volume	v o l u m e
cross	c r o s s
anyone	a n y o n e
mortgage	m o r t g a g e
hope	h o p e
silver	s i l v e r
corporation	c o r p o r a t i o n
wish	w i s h
inside	i n s i d e
solution	s o l u t i o n
mature	m a t u r e
role	r o l e
rather	r a t h e r
weeks	w e e k s
addition	a d d i t i o n
came	c a m e
supply	s u p p l y
nothing	n o t h i n g
certain	c e r t a i n
usr	u s r
executive	e x e c u t i v e
running	r u n n i n g
lower	l o w e r
necessary	n e c e s s a r y
union	u n i o n
jewelry	j e w e l r y
according	a c c o r d i n g
clothing	c l o t h i n g
mon	m o n
com	c o m
particular	p a r t i c u l a r
fine	f i n e
names	n a m e s
robert	r o b e r t
homepage	h o m e p a g e
hour	h o u r
gas	g a s
skills	s k i l l s
six	s i x
bush	b u s h
islands	i s l a n d s
advice	a d v i c e
career	c a r e e r
military	m i l i t a r y
rental	r e n t a l
decision	d e c i s i o n
leave	l e a v e
british	b r i t i s h
teens	t e e n s
pre	p r e
huge	h u g e
sat	s a t
woman	w o m a n
facilities	f a c i l i t i e s
zip	z i p
bid	b i d
kind	k i n d
sellers	s e l l e r s
middle	m i d d l e
move	m o v e
cable	c a b l e
opportunities	o p p o r t u n i t i e s
taking	t a k i n g
values	v a l u e s
division	d i v i s i o n
coming	c o m i n g
tuesday	t u e s d a y
object	o b j e c t
lesbian	l e s b i a n
appropriate	a p p r o p r i a t e
machine	m a c h i n e
logo	l o g o
length	l e n g t h
actually	a c t u a l l y
nice	n i c e
score	s c o r e
statistics	s t a t i s t i c s
client	c l i e n t
returns	r e t u r n s
capital	c a p i t a l
follow	f o l l o w
sample	s a m p l e
investment	i n v e s t m e n t
sent	s e n t
shown	s h o w n
saturday	s a t u r d a y
christmas	c h r i s t m a s
england	e n g l a n d
culture	c u l t u r e
band	b a n d
flash	f l a s h
lead	l e a d
george	g e o r g e
choice	c h o i c e
went	w e n t
starting	s t a r t i n g
registration	r e g i s t r a t i o n
fri	f r i
thursday	t h u r s d a y
courses	c o u r s e s
consumer	c o n s u m e r
airport	a i r p o r t
foreign	f o r e i g n
artist	a r t i s t
outside	o u t s i d e
furniture	f u r n i t u r e
levels	l e v e l s
channel	c h a n n e l
letter	l e t t e r
mode	m o d e
phones	p h o n e s
ideas	i d e a s
wednesday	w e d n e s d a y
structure	s t r u c t u r e
fund	f u n d
summer	s u m m e r
allow	a l l o w
degree	d e g r e e
contract	c o n t r a c t
button	b u t t o n
releases	r e l e a s e s
wed	w e d
homes	h o m e s
super	s u p e r
male	m a l e
matter	m a t t e r
custom	c u s t o m
